canonical_product_uid,brand,brand_normalized,model,model_normalized,size,raw_size_text,load_index,speed_rating,load_range,type,season,barcode,barcode_type,check_digit_valid,manufacturer_part_number,retailer_sku,confidence,current_status,usable_for,second_source_match,cross_checked,source_url,field_completeness_score,missing_fields,source_count
cooper-discoverer-at3-lt245-75r16-120r,Cooper,cooper,Discoverer A/T3,discoverer at3,LT245/75R16,LT245/75R16 120R,120,R,E,all_terrain,all_season,029142712886,upc_a,yes,90000183,,verified_2src,active_retail,auto_count_candidate,yes,yes,,1.0,,2
falken-wildpeak-at3w-lt275-70r18-125-122s,Falken,falken,Wildpeak A/T3W,wildpeak at3w,LT275/70R18,LT275/70R18 125/122S,125/122,S,E,all_terrain,all_season,848983006165,upc_a,yes,28033503,,verified_2src,active_retail,auto_count_candidate,yes,yes,,1.0,,2
